City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,1.02,64,75,2.57,IS,1728910266
1,lorengau,-2.0226,147.2712,27.72,78,49,1.54,PG,1728910268
2,lebu,-37.6167,-73.65,11.43,80,1,4.88,CL,1728910066
3,tolanaro,-25.0319,46.9987,26.04,73,20,11.83,MG,1728910270
4,bandundu,-3.3167,17.3667,26.69,80,100,1.59,CD,1728910272
5,atafu village,-8.5421,-172.5159,28.12,74,32,6.19,TK,1728910273
6,albany,42.6001,-73.9662,7.93,81,100,0.89,US,1728910173
7,port-aux-francais,-49.35,70.2167,2.46,67,30,12.75,TF,1728910275
8,kota,25.1833,75.8333,28.47,56,84,3.05,IN,1728910276
9,flying fish cove,-10.4217,105.6791,25.82,88,75,4.12,CX,1728910222
10,waitangi,-43.9535,-176.5597,11.01,96,100,1.79,NZ,1728910278
11,selfoss,63.9331,-20.9971,2.25,43,93,3.15,IS,1728910279
12,anadyr,64.75,177.4833,-3.72,85,100,2.0,RU,1728910280
13,adamstown,-25.066,-130.1015,20.65,83,100,10.6,PN,1728910282
14,papatowai,-46.5619,169.4708,6.84,85,86,5.28,NZ,1728910283
15,east london,-33.0153,27.9116,19.52,63,40,11.83,ZA,1728910285
16,qarazhal,48.0078,70.7903,8.18,59,100,3.39,KZ,1728910286
17,edinburgh of the seven seas,-37.0676,-12.3116,13.71,94,100,13.47,SH,1728910287
18,sisimiut,66.9395,-53.6735,0.62,66,54,2.03,GL,1728910288
19,puerto natales,-51.7236,-72.4875,9.25,61,75,2.06,CL,1728910289
20,beau vallon,-20.4189,57.6953,24.13,69,40,5.66,MU,1728910290
21,stanley,54.868,-1.6985,11.01,63,0,1.54,GB,1728910291
22,suklayin,15.7574,121.5503,25.45,95,100,0.36,PH,1728910292
23,jinchang,38.4953,102.1739,15.95,34,100,1.6,CN,1728910293
24,saint-felicien,48.6501,-72.4491,2.38,100,100,3.6,CA,1728910294
25,olonkinbyen,70.9221,-8.7187,-2.15,88,100,7.88,SJ,1728910295
26,newman,37.3138,-121.0208,15.03,86,0,1.36,US,1728910296
27,ushuaia,-54.8,-68.3,8.81,57,20,1.03,AR,1728910198
28,port mathurin,-19.6833,63.4167,22.69,75,32,9.38,MU,1728910298
29,thompson,55.7435,-97.8558,-7.91,100,20,0.0,CA,1728910277
30,homer,59.6425,-151.5483,6.94,76,20,0.0,US,1728910301
31,ilulissat,69.2167,-51.1,0.01,80,75,6.17,GL,1728910302
32,bredasdorp,-34.5322,20.0403,18.23,45,6,7.0,ZA,1728910303
33,constantia,44.1833,28.65,20.39,52,100,4.7,RO,1728910270
34,karratha,-20.7377,116.8463,31.21,16,3,8.1,AU,1728910306
35,ad dilam,23.9915,47.1627,37.28,10,0,1.44,SA,1728910307
36,pisco,-13.7,-76.2167,18.9,88,75,1.03,PE,1728910308
37,karkira,36.9292,6.5856,34.26,31,81,1.67,DZ,1728910309
38,lahad datu,5.0268,118.327,26.68,83,10,2.4,MY,1728910310
39,suntar,62.1444,117.6319,-4.89,83,100,4.17,RU,1728910311
40,cill airne,52.05,-9.5167,12.03,87,100,1.03,IE,1728910312
41,san luis de la loma,17.2706,-100.8939,24.67,80,20,2.19,MX,1728910313
42,lihue,21.9789,-159.3672,25.77,65,20,6.17,US,1728910314
43,magong,23.5654,119.5863,25.95,90,52,6.25,TW,1728910315
44,mount pearl,47.5166,-52.7813,8.97,81,75,8.23,CA,1728910317
45,londa,15.4691,74.5191,22.84,89,100,0.65,IN,1728910318
46,tulun,54.5611,100.5792,-2.77,51,25,1.99,RU,1728910319
47,talnakh,69.4865,88.3972,-14.13,94,76,5.16,RU,1728910320
48,waddan,29.1614,16.139,31.26,29,0,3.09,LY,1728910323
49,rongelap,11.1635,166.8941,28.5,78,38,7.75,MH,1728910324
50,guiuan,11.0333,125.7247,28.9,78,100,4.24,PH,1728910325
51,egersund,58.4513,5.9997,9.3,57,99,6.58,NO,1728910326
52,ribeira grande,38.5167,-28.7,21.54,94,75,5.66,PT,1728910327
53,tarawa,1.419,172.984,28.05,78,20,4.12,KI,1728910328
54,hermanus,-34.4187,19.2345,18.22,55,0,9.44,ZA,1728910329
55,mata-utu,-13.2816,-176.1745,27.24,79,100,7.27,WF,1728910332
56,castillos,-34.1667,-53.8333,18.12,77,100,5.12,UY,1728910333
57,abu zabad,12.35,29.25,34.54,31,60,1.55,SD,1728910334
58,bethel,41.3712,-73.414,10.01,87,100,1.54,US,1728910072
59,bozova,37.3625,38.5267,28.53,34,8,2.65,TR,1728910336
60,turuntayevo,52.2,107.6167,-4.32,64,80,0.88,RU,1728910337
61,puerto ayora,-0.7393,-90.3518,19.75,99,77,3.13,EC,1728910338
62,kruisfontein,-34.0033,24.7314,18.24,48,24,8.86,ZA,1728910339
63,onguday,50.75,86.15,-2.84,98,72,1.19,RU,1728910340
64,cabo san lucas,22.8909,-109.9124,26.53,70,0,3.75,MX,1728910341
65,grytviken,-54.2811,-36.5092,2.04,95,53,5.35,GS,1728910342
66,maceio,-9.6658,-35.7353,28.69,65,75,4.12,BR,1728910343
67,tiksi,71.6872,128.8694,-12.44,86,100,6.66,RU,1728910344
68,hilo,19.7297,-155.09,22.84,98,100,2.24,US,1728910184
69,at taj,24.2049,23.2857,36.13,15,0,2.86,LY,1728910347
70,invercargill,-46.4,168.35,8.34,76,88,4.92,NZ,1728910348
71,puerto rico,-26.796,-55.024,28.13,51,100,2.78,AR,1728910349
72,dryden,49.7833,-92.7503,0.16,93,100,1.03,CA,1728910337
73,iqaluit,63.7506,-68.5145,-1.15,86,100,5.14,CA,1728910351
74,ola,59.5833,151.2833,2.71,85,100,2.27,RU,1728910352
75,ust'-uda,54.1742,103.0304,-2.96,52,39,1.63,RU,1728910353
76,punta arenas,-53.15,-70.9167,8.06,76,75,6.17,CL,1728909956
77,mezhdurechenskiy,59.6,65.9333,1.78,74,100,1.53,RU,1728910355
78,urengoy,65.9667,78.3667,-0.61,89,13,6.98,RU,1728910356
79,chongwe,-15.3292,28.682,31.51,24,99,1.44,ZM,1728910357
80,wailua homesteads,22.0669,-159.378,25.44,65,20,6.17,US,1728910359
81,ebaye,8.7748,167.7392,28.01,83,40,4.12,MH,1728910362
82,sai buri,6.7013,101.6168,27.03,80,98,0.47,TH,1728910363
83,fort bragg,35.139,-79.006,18.79,80,0,3.6,US,1728910127
84,volodarskiy,46.4013,48.5409,9.0,46,98,6.25,RU,1728910365
85,axim,4.8699,-2.2405,28.27,70,46,3.68,GH,1728910366
86,saudarkrokur,65.7461,-19.6394,-1.15,57,0,2.16,IS,1728910368
87,severo-yeniseyskiy,60.3725,93.0408,-4.62,95,94,3.51,RU,1728910369
88,burgersdorp,-30.9977,26.3286,19.6,50,100,11.19,ZA,1728910370
89,la ronge,55.1001,-105.2842,5.14,87,0,3.09,CA,1728910371
90,kapuskasing,49.4169,-82.4331,1.05,100,100,4.12,CA,1728910372
91,kayangel,8.0823,134.7173,28.85,72,70,1.75,PW,1728910373
92,boticas,41.6758,-7.716,18.97,62,84,4.48,PT,1728910374
93,mugia,43.1041,-9.2179,21.62,81,100,1.08,ES,1728910375
